Consulta estado de cuenta del contrato:|17360|Usuario:|cmercado|Fecha y hora:|25/10/2021 13:10:59|Equipo|:192.168.14.28
Imprime estado de cuenta del contrato:|17360|Usuario:|cmercado|Fecha y hora:|25/10/2021 13:11:27|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|21437M|Usuario:|cmercado|Fecha y hora:|25/10/2021 13:13:54|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|21438M|Usuario:|cmercado|Fecha y hora:|25/10/2021 13:16:21|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|14706|Usuario:|hhuanca|Fecha y hora:|25/10/2021 13:37:40|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|8170|Usuario:|mtejerina|Fecha y hora:|25/10/2021 14:02:56|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:|8170|Usuario:|mtejerina|Fecha y hora:|25/10/2021 14:04:06|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:||Usuario:|mtejerina|Fecha y hora:|25/10/2021 14:05:35|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:|5959|Usuario:|mtejerina|Fecha y hora:|25/10/2021 14:10:56|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:|14706|Usuario:|SMAMANI|Fecha y hora:|25/10/2021 14:24:07|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|23161|Usuario:|SMAMANI|Fecha y hora:|25/10/2021 14:33:38|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|22966|Usuario:|hhuanca|Fecha y hora:|25/10/2021 14:40:25|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|22966|Usuario:|hhuanca|Fecha y hora:|25/10/2021 14:45:34|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|12681|Usuario:|hhuanca|Fecha y hora:|25/10/2021 14:57:01|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|12682|Usuario:|hhuanca|Fecha y hora:|25/10/2021 15:00:21|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|25724|Usuario:|hhuanca|Fecha y hora:|25/10/2021 15:03:09|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|13249|Usuario:|hhuanca|Fecha y hora:|25/10/2021 15:09:39|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|17360|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:10:01|Equipo|:192.168.14.28
Imprime estado de cuenta del contrato:|17360|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:10:20|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|12491|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:11:52|Equipo|:192.168.14.28
Imprime estado de cuenta del contrato:|12491|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:12:10|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|12646|Usuario:|hhuanca|Fecha y hora:|25/10/2021 15:12:52|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|27214|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:14:02|Equipo|:192.168.14.28
Imprime estado de cuenta del contrato:|27214|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:14:24|Equipo|:192.168.14.28
Imprime estado de cuenta del contrato:|27214|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:14:37|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|19149|Usuario:|hhuanca|Fecha y hora:|25/10/2021 15:15:02|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|7297|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:18:11|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|25997|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:18:55|Equipo|:192.168.14.28
Imprime estado de cuenta del contrato:|25997|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:19:10|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|19647|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:21:21|Equipo|:192.168.14.28
